ID	Gene Symbol	GENE_ID
1552906_PM_at	FMR1NB	158521
1552908_PM_at	C1orf150	148823
1552910_PM_at	SIGLEC11	114132
1552911_PM_at	SIGLEC11	114132
1552912_PM_a_at	IL23R	149233
1552913_PM_at	MAGEB18	286514
1552914_PM_a_at	CD276	80381
1552915_PM_at	IL28A	282616
1552917_PM_at	IL29	282618
1552919_PM_at	C4orf36	132989
1552921_PM_a_at	FIGNL1	63979
1552922_PM_at	RIMS1	22999
1552923_PM_a_at	PITPNM2	57605
1552924_PM_a_at	PITPNM2	57605
1552925_PM_at	PCDH10	57575
1552927_PM_at	TAB3	257397
1552928_PM_s_at	TAB3	257397
1552929_PM_at	GRK7	131890
1552930_PM_at	MMEL1	79258
1552931_PM_a_at	PDE8A	5151
1552932_PM_at	NLRP6	171389
1552933_PM_at	AKNAD1	254268
1552935_PM_at	ZCCHC5	203430
1552937_PM_s_at	ATRIP	84126
1552938_PM_at	ZIC5	85416
1552939_PM_at	ANGPT1	284
1552940_PM_at	TEDDM1	127670
1552942_PM_at	FLJ30430	149373
1552943_PM_at	GABRG1	2565
1552944_PM_a_at	PANX2	56666
1552946_PM_at	ZNF114	163071
1552947_PM_x_at	ZNF114	163071
1552948_PM_at	CCDC27	148870
1552950_PM_at	C15orf26	161502
1552952_PM_at	RBMY2FP	159162
1552953_PM_a_at	NEUROD2	4761
1552954_PM_at	C5orf17	439936
1552955_PM_at		
1552957_PM_at	DNAH6	1768
1552960_PM_at	LRRC15	131578
1552961_PM_at		
1552964_PM_at	C10orf93	255352
1552965_PM_a_at	B3GNT7	93010
1552967_PM_at	ZNF645	158506
1552969_PM_a_at	ZMYM6	9204
1552970_PM_s_at	ZMYM6	9204
1552971_PM_at	SGCZ	137868
1552972_PM_at		
1552973_PM_at	WNT9B	7484
1552974_PM_at		
1552975_PM_x_at		
1552976_PM_at		
1552977_PM_a_at	CNPY3	10695
1552978_PM_a_at	SCAMP1	9522
1552979_PM_at	C2orf52	151477
1552980_PM_at	HAS3	3038
1552982_PM_a_at	FGF4	2249
1552985_PM_at	SLC30A8	169026
1552986_PM_at	LOC142937	142937
1552987_PM_a_at	MGC42157	439933
1552988_PM_at	C11orf65	160140
1552990_PM_at	FAM71E2	284418
1552991_PM_at	OR5P2	120065
1552993_PM_at	DYDC1	143241
1552995_PM_at	IL27	246778
1552997_PM_a_at	IQCF1	132141
1552998_PM_at	DEFB125	245938
1552999_PM_a_at	WFDC10B	280664
1553002_PM_at	DEFB105A /// DEFB105B	245908 /// 504180
1553003_PM_at	PKHD1	5314
1553004_PM_at	PKD1L1	168507
1553006_PM_at	GPR112	139378
1553007_PM_a_at	ODZ1	10178
1553009_PM_s_at	REXO1L1	254958
1553011_PM_at	TAF1L	138474
1553013_PM_at	CNTNAP5	129684
1553015_PM_a_at	RECQL4	9401
1553016_PM_at	GPR113	165082
1553019_PM_at	TMC2	117532
1553020_PM_at	SMCR5	140771
1553021_PM_s_at	BICD2	23299
1553022_PM_at	ZIM3	114026
1553023_PM_a_at	NOX5	79400
1553024_PM_at	G30	282706
1553025_PM_at	GPR126	57211
1553027_PM_a_at	KLHL4	56062
1553028_PM_at	GPR156	165829
1553030_PM_a_at	SUOX	6821
1553031_PM_at	GPR115	221393
1553032_PM_at	IL31RA	133396
1553033_PM_at	SYTL5	94122
1553034_PM_at	SDCCAG8	10806
1553036_PM_at	GPR111	222611
1553037_PM_a_at	SYN2	6854
1553039_PM_a_at	ASB10	136371
1553041_PM_at	HTR3C	170572
1553042_PM_a_at	NFKBID	84807
1553043_PM_a_at	CD300LF	146722
1553044_PM_at	GJA10	84694
1553045_PM_at	WNT9A	7483
1553046_PM_s_at	GAL3ST2	64090
1553047_PM_at	PIP4K2B	8396
1553048_PM_a_at	PIP4K2B	8396
1553051_PM_s_at	ODF3	113746
1553052_PM_at	WFDC13	164237
1553053_PM_at	C14orf48	256369
1553055_PM_a_at	SLFN5	162394
1553057_PM_at	SERPINB12	89777
1553058_PM_at	GIPC3	126326
1553059_PM_at	PGLYRP3	114771
1553060_PM_at	PSKH2	85481
1553061_PM_at	OR6W1P	89883
1553062_PM_at	MOGAT1	116255
1553063_PM_at	GPR78	27201
1553064_PM_at	H1FOO	132243
1553066_PM_at	TAAR9	134860
1553067_PM_a_at	GNRHR2	114814
1553069_PM_at	C21orf87	257357
1553070_PM_a_at	MYOZ3	91977
1553071_PM_a_at	MYOZ3	91977
1553072_PM_at	BNIPL	149428
1553074_PM_at	ASB11	140456
1553075_PM_a_at	OFCC1	266553
1553076_PM_at	OFCC1	266553
1553077_PM_at	SDR9C7	121214
1553078_PM_at	OR5P3	120066
1553079_PM_at	TRIM40	135644
1553080_PM_at	CSN1S2A	286828
1553081_PM_at	WFDC12	128488
1553082_PM_at	CRYGN	155051
1553083_PM_at		
1553084_PM_at	STARD6	147323
1553086_PM_at	C11orf40	143501
1553087_PM_at	C18orf12	84322
1553088_PM_a_at	BCL2L11	10018
1553089_PM_a_at	WFDC2	10406
1553093_PM_a_at	DEFB119	245932
1553094_PM_at	TAC4	255061
1553096_PM_s_at	BCL2L11	10018
1553099_PM_at	TIGD1	200765
1553101_PM_a_at	ALKBH5	54890
1553102_PM_a_at	CCDC69	26112
1553103_PM_at	NFX1	4799
1553105_PM_s_at	DSG2	1829
1553106_PM_at	C5orf24	134553
1553107_PM_s_at	C5orf24	134553
1553108_PM_at	C5orf24	134553
1553111_PM_a_at	KBTBD6	89890
1553112_PM_s_at	CDK8	1024
1553113_PM_s_at	CDK8	1024
1553114_PM_a_at	PTK6	5753
1553115_PM_at	NKD1	85407
1553117_PM_a_at	STK38	11329
1553118_PM_at	THEM4	117145
1553120_PM_at	CLSPN	63967
1553122_PM_s_at	RBAK	57786
1553123_PM_at	WDR62	284403
1553125_PM_x_at	WDR62	284403
1553126_PM_a_at	SLC39A12	221074
1553127_PM_a_at	RNF168	165918
1553129_PM_at	SVEP1	79987
1553130_PM_at	LOC652276	652276
1553131_PM_a_at	GATA4	2626
1553132_PM_a_at	TC2N	123036
1553133_PM_at	C9orf72	203228
1553134_PM_s_at	C9orf72	203228
1553136_PM_at	KCTD18	130535
1553137_PM_s_at	KLF11	8462
1553138_PM_a_at	ANKLE1	126549
1553139_PM_s_at	PLXNA3	55558
1553140_PM_at	PELO	53918
1553141_PM_at	C13orf31	144811
1553142_PM_at	C13orf31	144811
1553145_PM_at	FLJ39653	202020
1553146_PM_at	C3orf30	152405
1553147_PM_at	RANBP3L	202151
1553148_PM_a_at	SNX13	23161
1553150_PM_at	KDM1B	221656
1553151_PM_at	ATP6V0D2	245972
1553153_PM_at	ATP6V0D2	245972
1553155_PM_x_at	ATP6V0D2	245972
1553156_PM_at	LHX4	89884
1553157_PM_at	LHX4	89884
1553158_PM_at	C3orf34	84984
1553159_PM_at	DNAH11	8701
1553162_PM_x_at	C19orf55	148137
1553163_PM_at	ADPRHL1	113622
1553165_PM_at	SYNRG	11276
1553166_PM_at	CDH24	64403
1553167_PM_a_at	SEPSECS	51091
1553168_PM_at	GRIK5	2901
1553169_PM_at	LRRN4	164312
1553171_PM_x_at	LRRN4	164312
1553172_PM_at	ZNF777	27153
1553174_PM_at	JPH2	57158
1553175_PM_s_at	PDE5A	8654
1553176_PM_at	SH2D1B	117157
1553177_PM_at	SH2D1B	117157
1553178_PM_a_at	SSTR3	6753
1553179_PM_at	ADAMTS19	171019
1553180_PM_at	ADAMTS19	171019
1553181_PM_at	DDX31	64794
1553183_PM_at	UMODL1	89766
1553185_PM_at	RASEF	158158
1553186_PM_x_at	RASEF	158158
1553188_PM_s_at	PARD3B	117583
1553190_PM_s_at	PARD3B	117583
1553191_PM_at	DST	667
1553192_PM_at	ZNF441	126068
1553193_PM_at	ZNF441	126068
1553194_PM_at	NEGR1	257194
1553196_PM_a_at	FCRL3	115352
1553197_PM_at	DCAF4L2	138009
1553199_PM_at	DCAF4L2	138009
1553202_PM_at	STOX1	219736
1553204_PM_at	C20orf200	253868
1553205_PM_at	C20orf200	253868
1553207_PM_at	ARL10	285598
1553208_PM_s_at		
1553209_PM_at	RNFT2	84900
1553211_PM_at	ANKFN1	162282
1553212_PM_at	KRT78	196374
1553213_PM_a_at	KRT78	196374
1553214_PM_a_at	CCDC7	221016
1553215_PM_s_at	CCDC7	221016
1553216_PM_at	ZNF41	7592
1553217_PM_s_at	ZNF41	7592
1553218_PM_a_at	ZNF512	84450
1553219_PM_a_at	AMMECR1	9949
1553220_PM_at	FAM117B	150864
1553221_PM_at	ZNF583	147949
1553222_PM_at	OXER1	165140
1553224_PM_at	LUZP1	7798
1553225_PM_s_at	ZNF75D	7626
1553226_PM_at	NCRNA00052	145978
1553227_PM_s_at	BRWD1	54014
1553228_PM_at	CCDC89	220388
1553229_PM_at	ZNF572	137209
1553232_PM_at	FAM82A1	151393
1553234_PM_at	ADAMTS18	170692
1553235_PM_at	PCDHAC1	56135
1553237_PM_x_at	PCDHAC1	56135
1553238_PM_a_at	HIPK4	147746
1553239_PM_at	FAM124A	220108
1553241_PM_at	NKAIN3	286183
1553243_PM_at	ITIH5	80760
1553244_PM_at	FANCB	2187
1553246_PM_a_at	SGK196	84197
1553247_PM_a_at	ZNF709	163051
1553248_PM_at	CCDC57	284001
1553249_PM_at	SMC1B	27127
1553252_PM_a_at	BRWD3	254065
1553253_PM_at	ASB16	92591
1553254_PM_at	MAGEE2	139599
1553255_PM_at	HERV-V1	147664
1553257_PM_at	GAL3ST3	89792
1553258_PM_at	FLJ30679	146512
1553260_PM_s_at	ALS2CR11	151254
1553261_PM_x_at	ALS2CR11	151254
1553262_PM_a_at	UTS2R	2837
1553263_PM_at	USH1G	124590
1553264_PM_a_at	SYN1	6853
1553265_PM_at	SLC23A3	151295
1553266_PM_at	CNOT6L	246175
1553267_PM_a_at	CNOT6L	246175
1553268_PM_at	RHBDL3	162494
1553269_PM_at		
